,Platform Info
1107,['DS']
1108,['PC']
1109,['PC']
1110,['PlayStation 4']
1111,['PlayStation 2']
1112,['PlayStation 2']
1113,['PC']
1114,['Xbox']
1115,['PlayStation 4']
1116,['PC']
1117,['Nintendo Switch']
1118,['DS']
1119,['Wii']
1120,['PlayStation Vita']
1121,['PC']
1122,['PC']
1123,['PC']
1124,['PlayStation 4']
1125,['Nintendo Switch']
1126,['GameCube']
1127,['PC']
1128,['PlayStation 2']
1129,['PC']
1130,['PC']
1131,['PlayStation 3']
1132,['PC']
1133,['PC']
1134,['Xbox']
1135,['PC']
1136,['PlayStation 2']
1137,['PC']
1138,['PlayStation 3']
1139,['Xbox 360']
1140,['PlayStation 2']
1141,['PlayStation 2']
1142,['Wii']
1143,['PlayStation']
1144,['PlayStation 2']
1145,['GameCube']
1146,['PSP']
1147,['PSP']
1148,['PlayStation 4']
1149,['iOS (iPhone/iPad)']
1150,['Xbox One']
1151,['iOS (iPhone/iPad)']
1152,['PlayStation 4']
1153,['Nintendo Switch']
1154,['PlayStation 4']
1155,['PC']
1156,['PlayStation 4']
1157,['iOS (iPhone/iPad)']
1158,['PSP']
1159,['PC']
1160,['PC']
1161,['Nintendo Switch']
1162,['PC']
1163,['3DS']
1164,['Xbox 360']
1165,['PlayStation 4']
1166,['Xbox 360']
1167,['PC']
1168,['Xbox']
1169,['PC']
1170,['PC']
1171,['iOS (iPhone/iPad)']
1172,['PC']
1173,['3DS']
1174,['PlayStation 3']
1175,['Wii U']
1176,['DS']
1177,['PC']
1178,['Nintendo Switch']
1179,['PC']
1180,['Game Boy Advance']
1181,['Xbox 360']
1182,['iOS (iPhone/iPad)']
1183,['PC']
1184,['iOS (iPhone/iPad)']
1185,['Game Boy Advance']
1186,['Xbox 360']
1187,['PSP']
1188,['PlayStation 2']
1189,['PlayStation 4']
1190,['PC']
1191,['PC']
1192,['PlayStation 3']
1193,['Xbox One']
1194,['PC']
1195,['PlayStation 2']
1196,['PC']
1197,['PC']
1198,['PlayStation Vita']
1199,['PlayStation 2']
1200,['PC']
1201,['PC']
1202,['PlayStation 2']
1203,['PC']
1204,['PC']
1205,['3DS']
1206,['PlayStation 3']
1208,['PC']
1209,['DS']
1210,['PC']
1211,['Nintendo Switch']
1212,['PC']
1213,['Game Boy Advance']
1214,['PlayStation 4']
1215,['Xbox 360']
1216,['iOS (iPhone/iPad)']
1217,['Xbox One']
1218,['Dreamcast']
1219,['Xbox One']
1220,['PC']
1221,['iOS (iPhone/iPad)']
1222,['PC']
1223,['Nintendo Switch']
1225,['iOS (iPhone/iPad)']
1226,['Nintendo Switch']
1227,['PlayStation 2']
1228,['PSP']
1229,['PlayStation 5']
1230,['PC']
1231,['PC']
1232,['PC']
1233,['PC']
1234,['PlayStation 3']
1235,['iOS (iPhone/iPad)']
1236,['PC']
1237,['PlayStation 3']
1238,['PlayStation 2']
1239,['PlayStation 3']
1240,['PlayStation 4']
1241,['PSP']
1242,['Xbox 360']
1243,['PC']
1244,['PC']
1245,['PC']
1246,['PC']
1247,['PC']
1248,['Game Boy Advance']
1249,['iOS (iPhone/iPad)']
1250,['Nintendo Switch']
1251,['Xbox 360']
1252,['PC']
1253,['iOS (iPhone/iPad)']
1254,['PlayStation 5']
1255,['PlayStation 5']
1256,['PlayStation 3']
1257,['Nintendo Switch']
1258,['PC']
1259,['PlayStation 2']
1260,['GameCube']
1261,['PlayStation 4']
1262,['GameCube']
1263,['Xbox']
1264,['PC']
1265,['PlayStation 4']
1266,['iOS (iPhone/iPad)']
1267,['PlayStation 4']
1268,['Xbox One']
1269,['PC']
1270,['Game Boy Advance']
1271,['PSP']
1272,['PC']
1273,['PC']
1274,['PC']
1275,['Wii']
1276,['Xbox 360']
1277,['iOS (iPhone/iPad)']
1278,['PlayStation 2']
1279,['Nintendo Switch']
1280,['PlayStation 5']
1281,['PlayStation Vita']
1282,['PC']
1283,['PlayStation 2']
1284,['PC']
1285,['PlayStation 4']
1286,['Nintendo 64']
1287,['PlayStation 2']
1288,['PlayStation 3']
1289,['Game Boy Advance']
1290,['iOS (iPhone/iPad)']
1291,['PlayStation 5']
1292,['PlayStation 2']
1293,['3DS']
1294,['PlayStation 2']
1295,['PC']
1296,['PlayStation 2']
1297,['Xbox 360']
1298,['Nintendo Switch']
1299,['PlayStation 2']
1300,['Xbox']
1301,['Game Boy Advance']
1302,['PlayStation 2']
1303,['PlayStation 2']
1304,['PC']
1305,['Dreamcast']
1306,['iOS (iPhone/iPad)']
1307,['PC']
1308,['PC']
1309,['PlayStation 4']
1310,['PC']
1311,['PC']
1312,['PlayStation 5']
1313,['PlayStation Vita']
1314,['PC']
1315,['DS']
1316,['PlayStation 4']
1317,['Xbox 360']
1318,['PC']
1319,['PC']
1320,['PlayStation']
1321,['PlayStation 3']
1322,['PC']
1323,['Xbox 360']
1324,['PlayStation 4']
1325,['PlayStation 2']
1326,['PlayStation 3']
1327,['Xbox']
1328,['PlayStation 3']
1329,['Nintendo Switch']
1330,['PC']
1331,['PC']
1332,['PC']
1333,['PlayStation 3']
1334,['PC']
1335,['PC']
1336,['Wii U']
1337,['PC']
1338,['DS']
1339,['DS']
1340,['PlayStation 4']
1341,['iOS (iPhone/iPad)']
1342,['PC']
1343,['PC']
1344,['iOS (iPhone/iPad)']
1345,['Xbox']
1346,['PlayStation']
1347,['PC']
1348,['PC']
1349,['PC']
